tiktoker_name,tiktok_name,subscribers_count,views_avg,likes_avg,comments_avg,shares_avg
jdiasss_,João Dias,7000000.0,3500000.0,81700000.0,450000.0,200000.0
evcnoble,Everett Noble,9800000.0,3400000.0,84450000.0,320000.0,340000.0
victormelo,Victor Melo,19400000.0,4600000.0,64220000.00000001,380000.0,240000.0
emilen_im,Эмильен,4000000.0,5300000.0,66310000.0,400000.0,120000.0
ehlija,Eh Lija,3300000.0,4000000.0,50600000.0,470000.0,430000.0
thoriqhal,thariqhalilintar,3800000.0,5800000.0,66200000.0,240000.0,220000.00000000003
afgsuga,Afg Suga Official,16169999.999999998,3300000.0,49030000.0,409999.99999999994,680000.0
jen_wolff,jenny,18760000.0,2900000.0,37160000.0,570000.0,1050000.0
tubbynugget,Tubby Nugget,3500000.0,2600000.0,51820000.00000001,210000.0,1080000.0
rescuerestore,Rescue & Restore,1500000.0,9200000.0,43000000.0,150000.0,290000.0
baddest4bitches,Edda,1500000.0,2500000.0,58020000.00000001,850000.0,340000.0
_itsstefano_,It'sStefano,4400000.0,4600000.0,55379999.99999999,580000.0,
guryan_off,Гурьянов Максим,2600000.0,3300000.0,47950000.0,310000.0,770000.0
thebenjishow,benji,5500000.0,3400000.0,54960000.0,380000.0,520000.0
mikaelatesta,Mikaela Testa,1700000.0,4300000.0,96030000.0,330000.0,
grillervm,GrillerVM,2900000.0,4300000.0,54929999.99999999,290000.0,400000.0
riaricis,Ria Ricis,25500000.0,5500000.0,66510000.0,220000.00000000003,210000.0
lizzza,Liza Koshy,29400000.0,5200000.0,1200000.0,190000.0,
elmarianaa,ElMariana,6500000.0,3800000.0,83480000.0,160000.0,330000.0
somi_official_,JEON SOMI,6100000.0,3000000.0,74630000.0,459999.99999999994,229999.99999999997
craggygames,Craggy Games,30680000.0,7000000.0,18930000.0,,1090000.0
gritside,gritside,3600000.0,3500000.0,44640000.0,150000.0,830000.0000000001
charlieputh,Charlie Puth,16100000.000000002,3500000.0,50910000.0,580000.0,260000.0
spencer_serafica,Xspencer,12300000.0,4000000.0,66320000.00000001,409999.99999999994,160000.0
mikaylahau,Mikaylah,4200000.0,3000000.0,38640000.0,990000.0,320000.0
